"시도","시군구","성별","한국계 중국인","중      국","베  트  남","우즈베키스탄","캄 보 디 아","필  리  핀","인도네시아","네      팔","태      국","스 리 랑 카","미      국","미  얀  마","일      본","몽      골","(타  이  완)","방글라데시","파 키 스 탄","카자흐스탄","인      도","러시아(연방)","캐  나  다","키 르 기 즈","영      국","프  랑  스","이  집  트","우크라이나","말레이시아","독      일","나이지리아","남아프리카 공화국","동 티 모 르","(홍      콩)","오스트레일리아","시  리  아","이      란","가      나","사우디아라비아","카  메  룬","터      키","싱 가 포 르","뉴 질 랜 드","에티오피아","브  라  질","노 르 웨 이","이 탈 리 아","라  오  스","모  로  코","우  간  다","아 일 랜 드","한국계 러시아인","스  페  인","네 덜 란 드","멕  시  코","예     멘","아랍에미리트연합","타지키스탄","스  웨  덴","폴  란  드","라이베리아","케      냐","이  라  크","요  르  단","세  네  갈","벨  기  에","페      루","수      단","콜 롬 비 아","아프가니스탄","스  위  스","루 마 니 아","에 콰 도 르","리  비  아","덴  마  크","르  완  다","핀  란  드","그  리  스","벨 로 루 시","오스트리아","콩고민주공화국","탄 자 니 아","알  제  리","기      니","코트디부아르","말      리","튀  니  지","헝  가  리","아제르바이잔","이 스 라 엘","베네수엘라","칠      레","불 가 리 아","체      코","앙  골  라","아르헨티나","포 르 투 갈","(마  카  오)","투르크메니스탄","감  비  아","잠  비  아","쿠 웨 이 트","과 테 말 라","부  룬  디","짐 바 브 웨","크로아티아","아르메니아","리투아니아","파 라 과 이","브 루 나 이","세르비아","볼 리 비 아","도미니카공화국","엘살바도르","오      만","가      봉","코스타리카","파  나  마","슬로바키아","팔레스타인","피      지","온 두 라 스","몰  도  바","부르키나파소","조 지 아","슬로베니아","시에라리온","자 메 이 카","모 잠 비 크","라 트 비 아","토      고","레  바  논","니 카 라 과","말  라  위","우 루 과 이","마다가스카르","부      탄","모 리 셔 스","아  이  티","쿠      바","콩      고","남수단공화국","아이슬란드","키 프 로 스","알 바 니 아","에스토니아","트리니다드토바고","베      냉","기니비사우","차      드","에리트레아","모 리 타 니","(영국 외지민)","룩셈부르크","소 말 리 아","마케도니아","솔로몬군도","바  레  인","보 츠 와 나","중앙 아프리카 공화국","카  타  르","바  하  마","바베이도스","니  제  르","세인트크리스토퍼 네비스","벨  리  즈","몬테네그로","보스니아-헤르체고비나","파푸아뉴기니","몰      타","코  모  로","가 이 아 나","몰  디  브","레  소  토","수  리  남","코소보","스와질란드","키 리 바 시","통      가","나  우  루","바 누 아 투","세인트루시아","팔  라  우","나 미 비 아","적 도 기 니","도미니카연방","카보베르데","그 레 나 다","기타"
"부산광역시","북구","여","76","214","540","12","18","37","6","3","11","0","29","2","35","4","23","0","0","0","0","8","9","4","6","0","0","0","0","0","0","11","0","1","2","0","2","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"부산광역시","사상구","남","144","630","509","206","202","200","106","49","61","69","21","76","14","11","73","29","141","5","2","7","3","0","5","2","1","0","2","1","2","0","3","0","0","8","1","3","0","0","0","0","0","2","2","0","0","4","0","3","0","1","2","0","2","1","0","1","1","0","1","2","1","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","2","0","0","0","0","0","1","0","0","12","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"부산광역시","사상구","여","124","1026","616","26","51","99","29","11","24","3","12","2","55","5","66","1","24","2","1","17","3","4","0","1","1","1","4","0","0","4","1","0","2","0","1","2","0","1","1","0","1","0","0","0","2","7","0","0","0","2","0","0","2","0","0","2","0","1","0","1","0","1","1","0","3","1","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0","2","0","2","0","0","0","0","1","1","1","0","0","3","0","1","0","0","5","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"부산광역시","사하구","남","191","176","542","158","105","244","448","168","93","94","33","68","25","27","32","33","79","2","11","10","7","3","9","0","0","1","0","2","0","5","18","2","2","0","0","1","0","0","0","1","1","0","1","0","2","2","1","3","2","1","1","0","3","1","0","1","0","0","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"부산광역시","사하구","여","162","339","515","42","44","96","12","17","16","4","16","0","86","24","45","0","8","4","6","27","7","1","0","2","0","1","4","1","0","5","6","4","0","0","0","2","0","0","3","1","0","0","1","0","0","3","0","0","0","5","0","0","1","0","0","1","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"부산광역시","서구","남","36","231","325","7","27","3","286","3","1","1","14","33","7","5","61","15","2","0","4","10","3","1","3","1","1","0","0","1","1","2","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"부산광역시","서구","여","50","131","139","12","23","24","37","4","5","0","4","0","21","10","49","1","0","2","0","31","3","1","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","4","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"부산광역시","수영구","남","40","83","100","4","4","4","7","0","6","1","93","6","44","3","40","3","2","0","3","14","48","4","48","6","0","2","1","2","0","12","0","0","5","0","1","0","0","0","0","3","5","0","1","0","1","0","1","0","3","2","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"부산광역시","수영구","여","62","134","131","12","2","18","4","4","6","1","66","7","68","3","25","2","0","1","0","16","17","2","15","2","0","3","2","3","0","16","0","2","2","0","1","0","0","0","1","2","1","0","0","0","2","1","0","0","2","2","0","0","1","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"부산광역시","연제구","남","56","54","44","8","11","3","8","0","1","7","16","0","7","1","32","1","3","4","0","2","13","0","3","2","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","3","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"부산광역시","연제구","여","59","134","139","8","12","40","2","2","6","0","8","0","23","4","19","0","0","1","0","2","7","3","2","1","0","0","3","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"부산광역시","영도구","남","56","168","188","39","4","31","247","0","0","40","27","55","4","4","28","5","1","3","3","27","0","3","3","0","2","2","2","1","1","1","0","1","0","0","2","5","0","0","1","0","0","0","0","1","0","0","0","4","1","5","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"부산광역시","영도구","여","67","147","155","9","5","40","4","6","2","1","3","1","23","7","33","1","1","0","1","34","0","5","0","0","0","0","6","1","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","2","1","1","0","12","0","0","2","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"부산광역시","중구","남","28","149","268","21","0","32","144","4","0","2","3","287","7","0","106","0","1","3","0","15","4","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"부산광역시","중구","여","47","174","86","24","0","15","15","3","1","0","2","1","27","5","76","1","0","7","0","38","0","0","0","0","0","1","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"부산광역시","해운대구","남","176","424","166","30","49","23","78","12","12","102","230","45","72","12","57","4","11","1","34","73","63","0","62","30","1","7","7","34","1","9","0","3","31","0","3","0","0","0","5","2","9","0","3","33","6","0","0","0","4","15","5","9","3","0","1","0","8","5","0","1","0","0","0","1","1","0","3","0","5","1","0","0","7","0","3","2","4","2","0","0","0","0","0","0","0","0","1","0","3","0","1","5","0","2","0","0","0","0","0","3","2","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"부산광역시","해운대구","여","145","500","320","17","16","80","40","5","26","0","162","3","138","21","60","4","8","3","13","83","28","8","19","15","0","5","4","13","1","10","0","1","18","0","6","0","3","0","1","1","2","0","1","19","4","3","0","0","0","16","3","13","2","0","0","0","7","3","0","0","0","0","0","0","0","0","0","0","3","3","0","0","5","0","2","1","4","0","0","0","0","0","0","0","1","0","2","0","1","0","1","1","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"서울특별시","강남구","남","294","598","68","23","7","16","3","16","33","1","452","8","259","8","86","5","11","8","60","21","82","0","60","78","11","3","6","29","1","10","0","12","26","0","9","0","22","0","27","9","10","0","5","1","19","0","2","0","8","0","7","10","5","2","8","0","6","1","0","0","0","1","0","12","0","0","3","0","3","0","0","1","0","0","6","1","1","4","0","1","1","0","0","0","1","2","0","0","1","1","1","2","0","0","0","1","1","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"서울특별시","강남구","여","486","536","99","25","14","53","18","3","44","1","309","0","265","35","71","2","5","14","11","39","73","2","26","42","8","5","7","18","0","12","0","13","11","0","8","0","17","0","16","10","8","0","7","0","11","0","5","0","6","0","4","1","0","1","8","0","4","0","0","0","0","0","0","3","1","0","0","0","2","1","0","0","1","0","1","0","4","1","0","0","1","0","0","0","3","0","0","1","1","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"서울특별시","강동구","남","1106","224","100","22","65","17","3","3","8","9","74","31","18","54","28","11","28","5","11","4","24","0","18","0","1","0","8","0","1","4","0","0","8","0","2","2","4","0","0","2","3","0","1","0","2","0","0","1","1","0","2","1","2","0","0","0","2","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"서울특별시","강동구","여","1003","465","241","20","15","59","7","3","20","1","59","0","121","79","31","1","13","4","1","9","17","6","3","0","0","0","5","0","0","4","0","2","4","0","3","1","2","0","0","0","1","0","0","0","3","1","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"서울특별시","강북구","남","576","263","69","14","1","21","3","17","3","0","49","3","13","116","44","5","14","2","10","4","20","1","7","8","1","0","0","0","0","4","0","2","3","1","13","1","14","0","2","0","3","0","0","0","0","0","0","0","6","1","5","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"서울특별시","강북구","여","632","543","307","24","16","78","3","12","27","0","35","3","100","210","68","1","5","18","4","17","8","9","0","9","0","3","2","1","0","4","0","9","1","0","2","1","1","0","1","1","1","0","1","0","4","1","2","0","0","0","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","1","0","3","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"서울특별시","강서구","남","1351","419","89","29","62","40","33","9","11","11","143","83","65","22","166","16","13","9","39","53","78","1","45","14","11","0","50","18","8","12","0","3","40","1","4","1","1","0","1","6","15","1","28","0","22","0","0","0","8","0","9","11","18","1","0","1","5","7","0","1","0","2","0","10","2","0","5","0","5","0","4","0","1","0","1","2","0","11","0","0","0","0","0","0","3","0","0","0","6","1","6","14","0","2","4","0","0","0","0","0","0","0","0","1","0","0","0","0","4","1","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"서울특별시","강서구","여","1300","787","293","47","23","131","31","1","35","0","80","3","234","55","143","4","3","12","22","39","14","5","18","5","1","0","8","6","1","5","0","11","4","0","3","1","0","0","0","2","2","0","4","0","2","4","1","0","0","5","4","1","3","0","0","0","0","4","0","0","0","0","0","1","1","0","1","0","0","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","1","0","0","2","2","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
